n,m,block,GPUf_ms,GPUd_ms
5000,5000,16,20.788,118.757
5000,5000,24,19.138,81.079
5000,5000,32,18.444,69.408
5000,5000,48,18.664,81.450
5000,5000,64,18.252,69.841
5000,5000,96,18.376,71.001
5000,5000,128,18.183,69.742
5000,5000,160,18.126,70.815
5000,5000,192,18.188,70.764
5000,5000,256,18.324,70.073
5000,5000,320,18.216,70.875
5000,5000,384,18.291,70.832
5000,5000,448,18.289,70.816
5000,5000,512,18.565,77.352
5000,5000,768,18.763,73.321
5000,5000,1024,18.596,70.892
8192,8192,16,52.155,272.191
8192,8192,24,49.556,213.135
8192,8192,32,48.511,183.209
8192,8192,48,47.801,212.890
8192,8192,64,47.305,183.305
8192,8192,96,47.137,184.290
8192,8192,128,46.930,182.661
8192,8192,160,47.399,183.527
8192,8192,192,47.368,183.795
8192,8192,256,47.172,183.988
8192,8192,320,47.048,182.792
8192,8192,384,48.358,183.387
8192,8192,448,47.599,182.868
8192,8192,512,47.484,182.864
8192,8192,768,47.803,184.256
8192,8192,1024,47.588,184.439
16384,16384,16,210.696,1047.570
16384,16384,24,202.354,827.036
16384,16384,32,193.323,728.642
16384,16384,48,192.435,826.525
16384,16384,64,186.395,711.251
16384,16384,96,187.409,714.072
16384,16384,128,185.056,707.956
16384,16384,160,188.091,719.166
16384,16384,192,188.849,714.474
16384,16384,256,186.826,712.321
16384,16384,320,187.325,722.723
16384,16384,384,188.538,712.595
16384,16384,448,190.001,715.648
16384,16384,512,187.036,712.186
16384,16384,768,191.202,714.470
16384,16384,1024,189.532,718.157
20000,20000,16,312.685,1542.660
20000,20000,24,298.438,1216.619
20000,20000,32,287.521,1049.373
20000,20000,48,282.982,1209.955
20000,20000,64,277.303,1044.475
20000,20000,96,275.778,1044.891
20000,20000,128,277.323,1046.140
20000,20000,160,275.480,1043.906
20000,20000,192,278.007,1047.162
20000,20000,256,278.347,1050.668
20000,20000,320,278.604,1048.491
20000,20000,384,282.237,1051.128
20000,20000,448,278.999,1046.184
20000,20000,512,278.932,1047.495
20000,20000,768,280.656,1052.728
20000,20000,1024,281.987,1057.153
