n,m,block,GPUf_ms,GPUd_ms
5000,5000,16,20.199,118.011
5000,5000,32,18.276,69.712
5000,5000,64,17.726,69.632
5000,5000,128,17.869,69.944
5000,5000,256,17.828,69.858
5000,5000,512,17.922,69.853
5000,5000,1024,18.123,70.557
8192,8192,16,51.444,270.960
8192,8192,32,47.826,182.025
8192,8192,64,46.732,182.740
8192,8192,128,46.521,182.281
8192,8192,256,46.857,182.533
8192,8192,512,47.503,182.013
8192,8192,1024,47.220,183.770
16384,16384,16,209.327,1048.626
16384,16384,32,190.848,707.976
16384,16384,64,185.962,712.122
16384,16384,128,185.381,708.157
16384,16384,256,184.714,716.937
16384,16384,512,185.839,706.963
16384,16384,1024,185.427,713.320
20000,20000,16,311.060,1540.802
20000,20000,32,285.355,1043.145
20000,20000,64,276.287,1040.774
20000,20000,128,275.068,1041.514
20000,20000,256,278.849,1046.185
20000,20000,512,277.932,1048.527
20000,20000,1024,278.674,1051.410
