n,m,block,GPUf_ms,GPUd_ms
5000,5000,16,20.163,117.839
5000,5000,32,18.264,69.535
5000,5000,64,17.863,69.613
5000,5000,128,17.733,69.433
5000,5000,256,17.822,69.483
5000,5000,512,17.963,69.546
5000,5000,1024,18.177,70.312
8192,8192,16,51.939,270.324
8192,8192,32,48.049,181.936
8192,8192,64,46.606,180.480  
8192,8192,128,46.575,181.750 
8192,8192,256,46.751,181.699
8192,8192,512,46.812,181.630
8192,8192,1024,47.090,183.313
16384,16384,16,208.886,1043.323
16384,16384,32,190.854,708.744
16384,16384,64,186.779,708.083
16384,16384,128,185.439,709.109
16384,16384,256,185.755,707.506  
16384,16384,512,186.194,708.673
16384,16384,1024,187.078,725.675
20000,20000,16,309.787,1533.606
20000,20000,32,283.454,1036.981
20000,20000,64,277.833,1045.828
20000,20000,128,276.493,1044.522
20000,20000,256,273.976,1037.674  
20000,20000,512,275.811,1039.062
20000,20000,1024,276.911,1042.240
,,,,
5000,5000,16,20.199,118.011
5000,5000,32,18.276,69.712
5000,5000,64,17.726,69.632  
5000,5000,128,17.869,69.944
5000,5000,256,17.828,69.858
5000,5000,512,17.922,69.853
5000,5000,1024,18.123,70.557
8192,8192,16,51.444,270.960
8192,8192,32,47.826,182.025
8192,8192,64,46.732,182.740
8192,8192,128,46.521,182.281   
8192,8192,256,46.857,182.533
8192,8192,512,47.503,182.013
8192,8192,1024,47.220,183.770
16384,16384,16,209.327,1048.626
16384,16384,32,190.848,707.976
16384,16384,64,185.962,712.122
16384,16384,128,185.381,708.157  
16384,16384,256,184.714,716.937  
16384,16384,512,185.839,706.963   
16384,16384,1024,185.427,713.320
20000,20000,16,311.060,1540.802
20000,20000,32,285.355,1043.145
20000,20000,64,276.287,1040.774
20000,20000,128,275.068,1041.514   
20000,20000,256,278.849,1046.185
20000,20000,512,277.932,1048.527
20000,20000,1024,278.674,1051.410
,,,,
5000,5000,16,20.279,118.285
5000,5000,32,18.215,69.580
5000,5000,64,17.824,69.185
5000,5000,128,17.726,69.034  
5000,5000,256,17.921,69.415
5000,5000,512,17.948,69.552
5000,5000,1024,18.189,70.141
8192,8192,16,51.173,268.057
8192,8192,32,47.904,181.829
8192,8192,64,46.463,181.235
8192,8192,128,46.206,180.792    
8192,8192,256,46.272,180.936
8192,8192,512,46.655,182.694
8192,8192,1024,46.914,182.110
16384,16384,16,208.989,1040.036
16384,16384,32,191.903,718.759
16384,16384,64,187.430,715.815
16384,16384,128,186.211,707.392   
16384,16384,256,185.674,719.526
16384,16384,512,185.933,704.589   
16384,16384,1024,187.185,709.854
20000,20000,16,309.276,1525.623
20000,20000,32,284.185,1039.284
20000,20000,64,276.825,1038.250
20000,20000,128,276.534,1040.545
20000,20000,256,273.527,1036.720   
20000,20000,512,278.121,1039.419
20000,20000,1024,278.375,1047.889
,,,,
5000,5000,16,20.269,118.002
5000,5000,32,18.370,71.320
5000,5000,64,17.836,71.325
5000,5000,128,17.805,71.313
5000,5000,256,17.775,69.558   
5000,5000,512,17.953,69.629
5000,5000,1024,18.111,70.398
8192,8192,16,51.502,269.928
8192,8192,32,47.811,181.880
8192,8192,64,46.251,180.999   
8192,8192,128,46.363,181.308
8192,8192,256,46.621,181.518
8192,8192,512,46.854,181.357
8192,8192,1024,46.707,182.261
16384,16384,16,207.788,1045.358
16384,16384,32,192.149,712.177
16384,16384,64,185.399,707.189
16384,16384,128,184.104,717.682
16384,16384,256,186.579,711.930
16384,16384,512,186.084,704.285   
16384,16384,1024,188.527,726.500
20000,20000,16,310.001,1534.917
20000,20000,32,286.037,1041.756
20000,20000,64,278.297,1042.733
20000,20000,128,277.060,1040.042   
20000,20000,256,277.162,1042.505
20000,20000,512,277.396,1042.955
20000,20000,1024,278.856,1048.759
